cust.id,cust.first_name,cust.last_name,cust.email,cust.gender,cust.ip_address,amt,date,withCreditCard,class
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$286.00,6/12/2017,TRUE,J
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$77.36,7/14/2017,TRUE,NA
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$312.20,7/15/2017,FALSE,I
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$51.22,5/30/2017,FALSE,L
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$349.49,6/12/2017,TRUE,D
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$419.71,5/8/2017,TRUE,D
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$350.29,5/1/2017,FALSE,G
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$398.29,7/15/2017,TRUE,G
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$73.07,5/27/2017,TRUE,H
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$200.03,7/16/2017,FALSE,C
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$357.43,5/16/2017,TRUE,L
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$180.96,7/24/2017,TRUE,C
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$130.89,6/9/2017,FALSE,G
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$392.35,7/11/2017,TRUE,G
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$88.58,7/16/2017,TRUE,G
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$264.79,7/7/2017,FALSE,NA
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$243.75,6/25/2017,FALSE,H
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$342.81,5/13/2017,TRUE,NA
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$269.61,7/17/2017,FALSE,B
2050896,Barnaby,Vasyutichev,bvasyutichev0@sun.com,Male,155.22.217.202,$499.84,6/8/2017,TRUE,NA
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$54.49,5/13/2017,FALSE,D
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$340.00,7/5/2017,TRUE,NA
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$168.56,5/23/2017,TRUE,K
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$63.78,6/25/2017,TRUE,H
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$292.78,7/2/2017,TRUE,L
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$86.48,6/8/2017,FALSE,D
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$118.65,5/16/2017,FALSE,C
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$199.74,6/9/2017,FALSE,I
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$55.38,5/15/2017,FALSE,E
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$290.65,6/22/2017,FALSE,F
1927165,Tamarra,Tackell,ttackell1@zimbio.com,Female,186.219.126.209,$450.53,5/1/2017,FALSE,L
6607506,Noland,Hoggan,nhoggan2@ocn.ne.jp,Male,107.73.25.152,$185.79,6/27/2017,FALSE,J
155237,Hollyanne,Maggi,hmaggi3@jigsy.com,Female,156.53.35.254,$277.25,5/15/2017,TRUE,I
155237,Hollyanne,Maggi,hmaggi3@jigsy.com,Female,156.53.35.254,$458.60,5/19/2017,TRUE,H
